track,track_type
Abu Dhabi Grand Prix,race
Australian Grand Prix,street
Austrian Grand Prix,race
Azerbaijan Grand Prix,street
Bahrain Grand Prix,race
Belgian Grand Prix,race
British Grand Prix,race
Canadian Grand Prix,street
Chinese Grand Prix,race
Dutch Grand Prix,race
Emilia Romagna Grand Prix,race
Hungarian Grand Prix,race
Italian Grand Prix,race
Japanese Grand Prix,race
Las Vegas Grand Prix,street
Mexico City Grand Prix,race
Miami Grand Prix,street
Monaco Grand Prix,street
Qatar Grand Prix,race
Saudi Arabian Grand Prix,street
Singapore Grand Prix,street
Spanish Grand Prix,race
São Paulo Grand Prix,race
United States Grand Prix,race
